DEPTH,ROP,WOB,CO2,CH4,H2S,TEMPIN,TEMPOUT,FRACT,MUDLOSS,QUARTZIT,CALCITE,PYRITE,HEMATITE,EPIDOTAL,CHLORITE,ANHYDRIT,SERICITE,PP,SPM1,SPM2,FLOWIN,FLOWOUT%,GAINLOSS,RPM,TORQUE,PITVOL,TUFFASH ,RHYOLITE,BASALT,VOLCAN,ANDESITE,DACITE,TUFFCRYS,VOLCSEDI,CHERTARG,MARL,CLAYST%,CLAY%,SILTST%,SANDST%,SAND%,MEDSAND%,CRSSAND
238,208,0,206,0,0,63,70,0,0,0,0,0,0,0,0,0,0,716,103,106,685,37,0,51,0,195,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
239,89,0,206,0,0,67,70,0,0,0,0,0,0,0,0,0,0,864,115,115,753,39,0,52,0,195,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
240,119,0,206,0,0,66,70,0,0,0,0,0,0,0,0,0,0,871,115,115,753,38,0,52,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
241,77,0,206,0,0,66,70,0,0,0,1,0,0,0,0,0,0,859,115,115,753,38,0,52,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
242,187,1,206,0,0,66,70,0,0,0,0,0,0,0,0,0,0,882,115,115,753,38,0,52,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
243,133,1,206,0,0,66,70,0,0,0,0,0,0,0,0,0,0,849,115,115,753,38,0,52,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
244,297,0,206,0,0,68,69,0,0,0,1,0,0,0,0,0,0,868,115,115,753,38,0,53,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
245,304,0,206,0,0,66,70,0,0,0,0,0,0,0,0,0,0,875,115,114,758,38,0,55,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
246,324,0,206,0,0,66,70,0,0,0,0,0,0,0,0,0,0,873,115,114,746,38,0,54,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
247,215,0,206,0,0,67,70,0,0,0,1,0,0,0,0,0,0,858,115,116,757,39,0,53,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
248,241,0,206,0,0,67,70,0,0,0,0,0,0,0,0,0,0,864,115,115,753,39,0,52,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
249,122,1,206,0,0,68,70,0,0,0,0,0,0,0,0,0,0,871,115,115,750,38,0,52,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
250,169,1,206,0,0,66,70,0,0,0,1,0,0,0,0,0,0,851,115,114,750,38,0,51,0,195,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
251,147,1,206,0,0,67,70,0,0,0,1,0,0,0,0,0,0,867,115,114,750,41,0,48,0,195,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
252,180,1,206,0,0,68,70,0,0,0,0,0,0,0,0,0,0,861,115,114,750,39,0,48,0,195,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
253,207,1,206,0,0,67,72,0,0,0,0,0,0,0,0,0,0,859,115,114,750,38,0,49,0,195,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
